produto_filial_id;filial_id;produto_id;dt_inicio;valor;valor_cnpj;valor_compra;ranking
132325;8;222527;2021-05-11 17:11:06;5.00;5.00;0.82;1
132327;8;222529;2021-05-11 17:11:01;5.00;5.00;0.73;1
132329;8;222531;2021-05-11 17:11:35;5.00;5.00;0.68;1
132331;8;222533;2021-05-11 17:11:45;5.00;5.00;0.60;1
132333;8;222535;2021-05-11 17:11:43;5.00;5.00;0.63;1
132335;8;222537;2021-05-11 17:11:37;5.00;5.00;0.54;1
132337;8;222539;2021-05-11 17:11:34;5.00;5.00;0.69;1
132339;8;222541;2021-05-11 17:11:39;5.00;5.00;0.53;1
132341;8;222543;2021-05-11 17:11:41;5.00;5.00;0.60;1
132346;8;222584;2021-05-10 17:37:26.974757;119.00;119.00;;1
133279;8;227052;2021-04-28 11:02:17.276424;669.00;669.00;;1
133463;8;227386;2021-04-13 10:08:32.235041;105.00;105.00;;1
133466;8;227389;2018-07-17 13:43:48;55.00;55.00;;1
133472;8;6901;2020-12-18 15:14:05.96466;670.80;670.80;390.00;1
133473;8;227397;2020-12-08 21:02:49.838719;149.00;149.00;;1
133494;8;227416;2021-03-10 12:46:59.136947;102.60;106.20;;1
134683;8;231154;2018-09-19 07:50:53;27.50;27.50;;1
134713;8;231217;2020-06-16 11:36:40.013526;849.99;849.99;;1
134740;8;231272;2018-08-31 13:31:09;35.00;35.00;;1
134741;8;231273;2018-12-07 15:40:04;42.00;42.00;;1
135831;8;228731;2019-12-22 15:43:05.936101;97.72;97.72;;1
137667;8;231278;2018-08-31 15:17:39;2.99;2.99;;1
137696;8;231350;2021-05-11 17:11:46;12.00;12.00;3.97;1
137712;8;227383;2021-03-23 11:49:05;141.38;;76.42;1
137718;8;231437;2018-09-10 11:08:36;295.00;295.00;;1
137825;8;231266;2021-04-14 11:20:53.490312;529.00;529.00;;1
138176;8;231539;2020-02-17 14:19:44.671285;175.00;;;1
138200;96;9817;2020-12-30 11:20:12;214.92;214.92;;1
138204;8;231563;2018-09-26 10:32:05;269.99;269.99;;1
138205;96;231564;2020-12-30 11:20:13;17.28;17.28;;1
138229;8;231581;2020-03-04 16:55:11.715596;60.00;60.00;27.00;1
138257;8;231609;2018-10-03 12:10:38;35.00;35.00;;1
138266;8;231617;2018-10-04 13:45:21;99.99;99.99;;1
138802;8;231695;2021-02-02 17:02:31.314838;315.00;315.00;;1
139191;8;231742;2020-09-10 18:05:40.76964;1369.00;1369.00;;1
139601;8;227172;2021-05-11 17:11:21;7.00;7.00;1.17;1
139622;8;231799;2018-11-28 10:21:19;259.99;259.99;;1
139638;8;231814;2021-02-08 09:49:23.161561;327.67;327.67;182.04;1
139648;8;231824;2020-05-22 09:06:47.938005;1119.00;1119.00;;1
139650;8;231829;2021-01-25 11:24:36.035209;329.04;329.04;;1
139652;8;231831;2021-01-25 11:26:21.682352;318.60;318.60;;1
139653;8;231832;2020-01-15 11:56:46.593267;499.99;499.99;;1
139657;8;58063;2021-02-18 17:23:40.104989;427.50;427.50;225.00;1
139701;8;14831;2021-05-11 09:29:36.202687;440.00;440.00;;1
139710;8;15729;2018-12-07 15:01:21;249.04;249.04;;1
139711;8;15123;2019-05-02 16:38:59;546.75;546.75;;1
139817;96;231978;2020-12-30 11:20:58;335.98;335.98;;1
140742;96;12147;2020-12-30 11:21:49;267.33;267.33;;1
140800;96;15653;2020-12-30 11:21:51;300.15;300.15;;1
141295;8;15821;2019-01-31 12:03:50;252.10;252.10;;1
141403;8;233248;2018-12-18 09:51:48;45.00;45.00;;1
141419;8;233262;2020-09-25 16:33:36.163739;5.00;5.00;;1
141421;8;233264;2020-09-25 16:33:38.057941;5.00;5.00;;1
141422;8;233265;2020-09-25 16:33:35.021403;5.00;5.00;;1
141423;8;233266;2020-09-25 16:33:39.925418;5.00;5.00;;1
